SubjID,AverageFA,ROIGCC,ROIBCC,ROISCC,ROIFX,ROICST_R,ROICST_L,ROIALIC_R,ROIALIC_L,ROIPLIC_R,ROIPLIC_L,ROIRLIC_R,ROIRLIC_L,ROIACR_R,ROIACR_L,ROISCR_R,ROISCR_L,ROIPCR_R,ROIPCR_L,ROIPTR_R,ROIPTR_L,ROISS_R,ROISS_L,ROIEC_R,ROIEC_L,ROICGC_R,ROICGC_L,ROICGH_R,ROICGH_L,ROIFX_ST_R,ROIFX_ST_L,ROISLF_R,ROISLF_L,ROISFO_R,ROISFO_L,ROIIFO_R,ROIIFO_L,ROIUNC_R,ROIUNC_L,ROIIC_R,ROIIC_L,ROIALIC,ROIPLIC,ROIRLIC,ROIIC,ROICR_R,ROICC,ROICR_L,ROIACR,ROISCR,ROIPCR,ROICR,ROICST,ROIPTR,ROISS,ROIEC,ROICGC,ROICGH,ROISLF,ROISFO,ROIIFO,ROIFXST,ROIUNC
1010,3,1,1,2,2,3,1,3,3,1,1,2,2,1,2,2,3,3,1,3,3,2,1,3,3,1,2,3,3,3,2,3,3,1,3,2,3,3,1,1,2,3,2,1,1,3,2,3,2,1,3,2,3,2,3,1,2,3,3,1,2,2,3
1011,2,3,1,2,2,1,2,2,1,2,2,2,3,3,1,2,2,3,2,1,1,3,3,2,1,2,3,1,2,1,3,2,1,2,1,2,3,3,3,2,2,2,2,2,1,2,1,2,3,1,2,1,3,2,2,1,3,3,2,2,1,3,2
1012,3,3,3,3,3,2,1,1,3,1,3,3,1,3,3,1,3,1,2,1,3,3,1,3,3,1,2,3,3,3,3,3,1,2,2,1,3,3,3,1,1,3,2,3,3,2,1,1,2,3,1,1,3,3,3,3,1,1,3,1,1,1,2
1013,2,2,1,1,2,3,3,2,1,3,3,3,1,3,1,1,1,3,3,3,1,2,1,3,3,1,1,1,1,2,1,1,2,3,2,3,3,3,1,1,2,2,1,3,1,3,1,3,3,2,2,3,3,3,1,3,1,3,2,3,2,3,1
1014,3,1,3,2,3,3,2,3,3,2,2,2,1,2,3,1,3,3,3,2,2,3,1,3,2,1,2,2,3,3,1,2,2,1,1,2,3,2,1,1,3,2,3,3,3,2,3,1,1,3,2,1,3,2,3,3,3,1,1,2,1,2,2
1015,1,3,2,3,2,2,2,1,3,2,1,2,3,2,3,2,2,2,3,2,1,3,3,1,3,2,2,3,3,3,2,2,2,3,1,2,3,1,3,1,2,1,2,3,3,3,2,2,3,2,3,1,3,1,3,1,1,3,3,2,1,2,3
1016,1,2,3,3,2,3,3,3,3,3,3,2,2,1,3,1,1,2,1,2,2,2,3,2,3,1,2,1,2,1,1,1,3,3,3,2,3,1,3,1,3,2,1,2,1,1,2,3,2,3,2,2,3,1,2,2,3,1,2,2,3,1,1
1017,2,3,3,2,2,2,3,2,1,3,3,1,1,2,2,3,2,1,1,2,2,1,3,3,2,1,2,2,3,3,1,2,3,2,2,1,2,2,1,2,2,2,1,1,1,3,2,1,1,1,3,3,2,2,2,3,1,1,1,2,1,2,1
1018,1,1,3,1,3,3,3,3,1,2,3,1,2,3,1,1,1,2,3,2,1,3,1,3,1,3,2,1,1,2,3,1,2,1,3,3,3,1,3,2,1,2,3,3,3,3,2,2,3,2,3,1,1,1,3,1,1,2,2,3,3,3,1
1019,2,1,3,2,2,2,1,2,1,3,2,1,1,2,3,3,2,1,2,3,2,2,1,2,1,2,2,3,2,2,3,1,3,3,1,2,2,3,1,2,1,3,2,3,2,2,2,2,1,3,2,2,1,3,2,1,1,1,1,1,1,3,3
1020,1,2,1,3,3,2,2,2,2,1,1,2,2,2,2,3,3,1,3,1,1,3,1,3,3,2,1,3,1,2,1,2,3,3,3,2,2,3,1,1,1,3,1,1,1,3,2,1,3,1,1,2,3,2,2,2,3,1,1,2,1,3,3
1021,3,3,1,1,2,2,2,2,1,2,2,2,1,3,1,1,3,1,2,3,1,3,2,2,1,3,3,1,3,3,2,1,1,3,1,2,1,2,3,1,2,3,3,1,3,1,1,1,1,1,1,3,2,3,3,3,1,2,3,1,1,2,2
1022,1,3,1,2,1,1,3,3,1,2,2,2,3,3,3,3,3,3,2,3,3,1,1,1,3,1,3,1,2,2,3,1,2,1,2,3,2,2,2,2,2,2,2,1,2,3,3,3,1,1,1,3,1,2,2,1,2,3,1,3,3,1,2
1023,2,3,1,1,2,2,2,1,3,2,2,3,3,2,1,2,1,1,2,3,1,1,1,1,1,1,2,3,3,3,2,3,3,1,2,1,1,2,3,1,1,2,1,1,3,3,1,2,3,3,1,2,3,3,2,1,3,1,2,1,3,1,1
1024,3,1,2,2,3,1,1,2,3,3,3,1,2,2,3,2,3,2,3,1,1,2,3,3,1,2,1,2,3,1,3,2,2,2,2,3,3,3,1,2,3,1,1,1,3,3,2,1,3,3,3,2,1,3,2,1,3,3,1,1,1,2,2
1025,2,3,1,1,1,1,3,3,2,3,1,2,1,2,1,3,2,2,2,3,2,3,1,2,3,1,3,1,2,2,1,3,2,1,2,2,3,1,1,1,1,2,1,1,2,3,1,3,3,1,1,2,2,2,3,2,3,1,3,3,2,3,3
1026,1,2,1,1,3,2,2,3,2,2,2,2,1,1,1,3,2,2,1,2,3,2,3,2,1,1,1,1,2,2,2,3,2,1,2,3,1,1,3,1,2,2,2,2,1,1,2,2,3,3,1,1,1,3,3,3,1,3,1,1,2,2,3
1027,2,2,3,3,1,3,1,3,2,3,1,1,3,1,1,1,2,1,1,3,2,3,3,1,3,1,3,1,1,3,2,3,3,2,2,2,1,2,3,2,2,3,1,1,1,3,2,2,3,2,1,3,1,2,1,2,3,1,1,1,3,2,3
1028,2,2,1,2,3,3,3,2,1,1,2,1,2,2,2,3,1,1,2,2,2,1,2,3,3,1,2,3,1,3,2,3,2,2,2,2,3,3,1,3,2,3,1,3,1,2,3,3,1,2,2,3,1,3,2,3,2,2,3,2,2,1,3
1029,3,1,2,1,2,1,1,3,3,3,2,2,3,3,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,3,3,1,2,2,3,2,1,3,1,1,3,1,3,2,3,1,3,2,1,1,2,1,3,1,1,1,1,3,2,3,2,2,1
1030,2,2,1,3,3,2,2,2,2,2,3,1,2,1,2,3,3,1,2,3,3,1,1,1,2,2,1,1,1,2,2,2,1,1,3,2,2,2,3,2,2,3,2,3,1,3,3,2,1,3,3,1,2,2,3,2,1,1,1,1,3,1,1
1031,3,3,2,2,2,2,1,3,1,1,2,1,1,2,3,2,3,2,2,2,1,2,2,3,3,3,3,1,2,2,2,3,3,3,3,1,1,3,1,2,1,1,2,2,2,3,1,1,2,2,3,2,1,2,3,1,1,1,1,3,3,3,3
1032,1,2,3,1,2,2,3,2,2,2,3,2,3,1,3,2,2,1,3,2,1,1,1,1,2,1,2,2,2,2,1,2,2,3,3,3,1,3,2,3,2,3,3,3,1,2,3,2,2,1,3,1,1,2,3,2,3,3,3,3,3,3,2
1033,1,2,3,1,1,3,1,2,1,1,2,1,3,1,1,3,1,2,3,2,2,2,1,3,3,3,3,1,2,1,2,1,1,1,2,3,3,3,1,3,2,2,1,3,1,1,1,3,3,2,3,1,2,2,2,1,1,3,3,3,3,2,2
1034,2,2,2,1,3,1,2,3,3,3,1,1,2,1,1,3,2,3,3,1,1,2,2,2,3,2,3,3,1,1,1,3,1,3,1,1,3,1,1,2,2,3,3,3,1,1,1,3,2,2,1,3,3,3,1,1,1,2,3,3,1,2,2
1035,2,2,2,3,3,1,1,3,3,1,3,1,3,2,1,2,1,2,3,2,2,2,2,3,1,1,3,3,2,3,2,1,1,3,1,2,2,3,2,3,1,1,2,3,3,3,1,2,2,1,3,2,1,3,2,3,2,3,1,3,3,1,3
1036,2,1,3,2,1,3,1,2,1,3,1,2,2,3,3,2,3,1,2,2,3,2,2,1,2,3,1,2,2,3,3,2,1,1,2,3,1,2,3,2,1,2,3,2,2,2,1,3,1,3,3,2,3,2,2,3,1,3,3,3,1,3,2
1037,1,3,2,3,2,1,1,1,1,2,3,2,2,2,2,1,1,3,2,3,2,1,1,1,1,1,1,3,2,1,1,3,1,2,3,3,1,2,3,2,3,1,2,1,3,1,1,1,3,1,3,3,2,2,2,3,2,2,2,1,3,2,2
1038,3,1,2,3,2,3,3,1,1,3,1,2,2,1,3,3,1,2,2,3,3,2,1,2,2,3,1,3,1,2,3,1,2,1,3,2,3,3,3,2,3,2,1,3,1,2,2,3,2,2,1,1,2,2,2,3,1,3,3,2,1,2,3
1039,2,2,3,3,2,1,3,2,2,2,2,2,3,1,2,2,3,2,1,2,3,2,3,2,3,3,1,3,3,2,1,1,3,3,1,3,1,2,1,1,2,2,2,1,2,1,3,2,3,3,2,2,2,1,2,1,2,3,2,2,3,2,2
1040,2,1,3,2,2,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,1,3,1,3,3,3,3,2,3,1,3,1,1,3,3,1,2,1,3,2,2,3,2,3,1,1,1,3,2,1,2,3,1,3,3,1,1,3,3,3,3,2,1
1041,1,1,1,2,3,1,3,3,2,2,3,2,3,1,3,2,1,2,2,1,2,1,1,1,2,3,3,3,3,3,3,1,3,2,2,2,2,1,2,3,2,1,1,3,2,1,2,2,3,1,1,2,2,1,3,2,2,3,1,2,3,2,3
1042,3,1,1,2,2,3,2,1,1,3,1,3,3,3,3,1,2,1,2,2,1,3,2,3,2,1,1,2,2,1,3,3,1,3,2,1,1,2,2,2,1,1,2,2,3,3,3,3,1,2,3,1,1,1,1,2,1,3,1,2,3,3,2
1043,3,1,3,1,2,3,1,1,1,3,1,2,1,2,2,3,1,2,2,2,1,3,2,2,1,2,2,1,3,1,3,1,1,1,3,2,1,1,2,1,1,3,1,3,3,3,3,2,1,1,1,3,2,2,3,2,1,1,1,2,1,2,1
1044,1,1,3,2,3,3,1,2,2,1,3,1,3,2,1,1,2,3,3,3,2,1,2,3,3,1,1,2,2,3,1,2,2,1,3,2,2,3,2,1,1,2,3,1,3,3,3,2,1,3,2,3,2,3,1,1,1,2,2,1,2,2,3
1045,2,1,2,3,2,1,2,1,1,1,1,1,3,2,1,3,3,1,1,2,2,1,3,3,2,3,2,2,3,1,3,1,1,3,1,2,3,3,2,3,2,3,3,3,1,3,3,2,2,3,2,1,3,2,2,2,3,2,1,2,3,1,3
1046,2,3,3,2,2,1,2,1,3,2,1,1,3,3,2,1,3,2,3,1,2,1,3,2,1,1,3,3,1,3,2,2,3,3,3,2,3,2,1,3,2,3,3,3,1,3,2,3,3,3,3,1,1,3,1,3,3,2,2,1,2,1,1
1047,3,1,1,3,1,1,1,3,3,1,2,2,3,1,3,3,2,3,2,2,1,3,1,1,3,1,2,2,1,2,2,1,1,3,1,2,2,3,3,2,2,3,1,3,1,1,3,3,2,2,2,3,3,2,3,3,1,2,1,2,1,1,3
1048,3,2,2,1,1,3,3,3,1,2,1,3,3,1,2,3,2,2,1,2,2,3,3,1,2,2,2,1,3,2,1,2,3,1,2,2,1,1,2,3,3,2,1,1,3,1,2,2,1,1,2,2,1,1,2,1,2,3,2,2,2,1,3
1049,2,1,3,2,2,3,1,1,2,3,3,3,3,1,1,1,1,2,2,3,2,3,1,2,2,2,1,1,2,3,1,2,1,2,3,1,3,2,2,2,2,3,1,3,2,1,1,2,2,2,1,3,1,1,2,1,1,2,3,2,1,3,3
1050,1,3,3,2,3,3,2,2,3,1,2,1,1,2,1,1,2,2,3,2,1,1,3,2,3,3,3,1,2,3,1,2,2,1,1,3,3,2,2,3,1,2,2,2,2,3,1,3,3,1,3,3,2,3,2,3,2,3,2,1,1,3,1
1051,3,2,1,3,3,1,1,2,3,3,3,1,1,1,3,2,1,2,1,3,1,3,1,3,3,2,1,3,3,2,1,1,3,1,1,3,3,1,3,1,2,1,2,3,2,1,2,2,2,2,2,3,2,2,1,1,1,3,1,3,1,1,2
1052,1,3,1,2,3,3,3,2,2,1,3,3,2,3,3,1,1,3,2,2,2,3,3,1,1,3,3,1,2,1,2,3,1,1,2,1,1,2,1,2,3,3,1,1,3,3,1,3,3,1,1,2,1,2,2,2,1,2,3,2,3,2,3
1053,3,1,1,2,2,2,1,3,2,2,2,2,2,1,2,1,1,2,3,3,2,1,3,1,1,1,3,3,1,3,3,2,1,2,3,1,3,1,1,3,2,2,2,1,3,2,1,3,1,1,2,1,3,1,3,1,2,3,1,2,1,3,3
1054,2,2,1,3,2,1,2,3,2,1,3,1,1,3,2,3,1,3,3,3,3,2,3,1,1,2,2,3,1,1,3,1,2,2,1,1,2,1,1,2,1,2,2,1,3,1,1,3,1,1,2,2,2,2,3,1,1,2,3,3,3,1,1
1055,3,3,2,1,3,2,2,3,1,3,1,1,1,3,1,2,1,2,3,1,2,3,1,2,1,3,3,3,3,3,2,1,3,1,2,1,1,1,2,1,1,3,1,1,3,1,2,1,1,1,3,1,3,2,2,2,1,3,2,2,3,2,1
1056,3,1,3,2,1,1,3,1,2,2,2,2,1,2,2,3,1,1,1,2,1,3,2,1,2,2,1,2,2,3,2,2,3,1,3,1,3,1,3,2,1,1,3,2,3,1,3,2,1,3,2,3,2,1,3,1,1,1,3,2,1,1,1
1057,3,3,1,3,1,2,1,1,1,2,3,2,2,2,3,1,1,2,3,3,1,3,2,3,3,1,2,1,1,2,2,1,1,3,1,2,1,1,3,2,1,1,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,1,2,3,2,3,1
1058,1,3,2,2,3,3,1,2,2,2,2,1,3,1,2,1,1,1,1,1,2,2,1,1,3,1,1,3,2,3,2,1,3,1,1,2,1,3,2,3,3,3,2,3,1,2,2,1,1,3,1,3,1,1,2,1,2,1,3,1,2,1,1
1059,2,3,3,2,2,3,1,3,3,3,1,1,1,1,2,3,1,3,2,1,1,3,3,1,3,3,3,2,3,3,2,3,1,3,1,1,3,1,1,1,3,3,3,2,2,1,1,3,1,3,2,1,2,1,1,2,2,3,1,1,1,3,2
1060,2,2,2,1,2,2,3,1,1,2,3,2,1,2,3,3,2,2,3,2,1,2,1,2,3,2,1,1,3,2,2,3,1,3,3,1,2,1,2,3,3,1,1,1,2,1,3,1,3,3,3,3,1,2,1,2,3,1,3,2,3,1,1
1061,1,2,1,3,2,1,3,2,2,1,1,3,3,1,1,2,1,3,2,2,3,1,2,2,2,2,3,3,2,2,2,2,1,3,2,2,2,2,2,1,1,1,3,1,1,1,3,2,3,3,2,3,2,3,2,2,1,1,3,3,1,1,1
1062,3,3,1,3,1,1,3,1,2,1,3,1,3,2,3,1,2,2,2,2,1,3,3,1,2,2,2,3,1,3,1,3,1,1,2,3,2,3,1,2,1,3,3,1,1,1,1,2,3,3,3,1,1,3,2,2,2,1,2,2,1,2,2
1063,1,2,2,2,1,3,1,2,2,3,2,2,2,2,3,3,1,1,3,3,1,3,3,2,3,2,3,3,1,2,3,3,2,1,2,1,3,1,2,1,3,3,3,2,1,2,3,1,2,3,2,2,1,2,1,2,1,3,2,1,3,1,2
1064,1,1,2,1,3,3,2,1,1,1,1,1,1,3,1,2,3,3,1,2,1,1,1,2,3,2,3,3,3,3,3,2,1,1,2,2,3,1,3,2,1,1,3,2,3,3,2,3,2,2,2,2,3,1,2,1,1,2,2,3,3,1,1
1065,1,1,3,1,2,3,3,2,3,3,3,2,2,2,2,3,3,2,2,1,1,3,1,1,1,2,2,1,1,2,1,3,3,3,3,1,3,1,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,2,3,1,1,1,3,2,3,2,1
1066,1,1,2,3,2,2,1,2,1,1,1,2,3,2,1,2,2,1,1,2,1,1,1,1,3,1,2,3,3,1,1,1,3,1,2,2,2,2,3,2,2,1,2,2,3,1,2,2,1,2,2,1,1,2,1,2,3,1,2,1,3,1,2
1067,1,2,3,3,2,1,2,3,1,1,3,3,2,2,1,3,3,2,3,3,2,1,3,3,3,1,2,3,2,1,3,3,1,1,3,2,1,2,1,3,2,2,1,2,1,1,3,2,3,2,2,2,1,1,2,1,3,1,3,2,3,3,2
1068,2,2,3,2,1,1,3,2,2,2,1,1,1,2,2,3,1,1,3,3,2,1,3,2,3,1,2,3,1,1,1,3,1,1,2,3,2,2,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,2,1,1,1,2,3,1
1069,3,2,2,3,1,3,3,1,3,1,1,3,2,1,3,2,2,1,2,3,2,1,2,3,2,3,3,2,1,1,2,1,3,2,1,2,3,2,1,3,3,2,1,1,3,3,3,1,3,3,3,1,1,3,1,2,1,1,2,3,3,3,2
1070,3,1,3,2,3,1,3,3,2,2,1,2,2,3,1,1,2,1,2,2,2,2,1,1,2,3,2,2,1,2,3,3,1,1,1,1,1,1,1,2,3,1,2,2,3,1,2,2,2,3,3,2,2,3,1,3,2,2,3,2,3,1,1
1071,3,2,1,2,1,1,3,1,2,3,3,1,2,2,2,3,1,1,2,2,1,2,3,2,1,1,1,2,2,1,3,2,2,1,2,2,2,1,2,2,3,2,1,3,1,3,2,2,1,1,3,1,2,3,1,3,1,1,3,1,1,2,1
1072,2,3,2,3,1,1,2,1,1,1,3,1,1,2,2,1,3,3,1,2,3,1,1,1,1,1,2,2,3,2,1,3,1,1,2,1,2,2,2,3,2,1,2,3,3,2,1,2,2,2,2,1,1,1,1,3,2,2,1,3,2,3,2
1073,2,3,2,2,1,3,2,2,1,1,3,1,1,1,2,3,1,1,3,3,1,1,1,1,3,1,2,2,2,3,2,3,2,1,3,2,1,2,3,2,2,2,1,3,2,3,1,2,1,3,2,2,1,3,3,2,3,2,1,1,2,2,3
1074,1,1,2,2,2,2,3,2,3,2,3,1,1,3,2,3,2,2,2,1,3,2,1,3,3,3,3,1,1,3,1,3,3,2,3,2,2,2,2,3,2,1,2,2,2,1,2,3,2,1,3,1,1,3,1,1,3,2,1,2,3,1,1
1075,1,3,2,1,2,1,1,2,1,3,3,2,2,3,1,2,1,2,1,3,3,1,3,3,2,2,1,2,2,2,2,2,2,1,2,3,1,1,2,2,1,2,2,2,2,3,1,2,1,1,1,3,1,2,3,1,1,2,3,3,1,3,3
1076,1,1,2,3,3,3,3,3,1,1,2,1,1,3,3,1,2,3,1,1,1,2,2,1,2,2,2,1,2,1,1,2,3,2,3,1,1,2,1,3,1,2,1,3,2,3,2,3,1,1,2,1,2,2,2,2,3,3,1,3,1,2,2
1077,1,2,1,2,3,3,3,1,1,1,3,1,1,2,3,3,3,2,3,2,2,1,2,3,1,1,2,1,3,2,3,1,1,1,2,3,3,1,2,2,1,1,2,2,3,2,3,3,1,2,3,3,2,2,3,2,1,1,1,1,1,2,3
1078,1,2,1,1,3,1,3,3,3,2,2,3,1,1,2,1,1,2,1,3,3,1,3,2,3,3,3,3,1,2,1,3,1,1,2,2,3,1,2,3,2,1,1,2,2,1,1,1,3,3,1,3,2,1,2,3,3,1,3,1,3,3,2
1079,3,2,1,3,2,3,2,3,3,3,2,3,1,1,1,3,1,3,2,2,2,2,2,2,3,2,3,1,3,1,2,1,1,3,3,2,1,3,1,1,3,1,1,2,2,2,1,2,1,3,2,3,3,2,2,1,3,2,3,1,3,3,1
1080,2,2,1,1,2,3,2,3,1,1,2,1,3,2,1,2,1,1,3,2,3,3,3,3,1,1,3,1,2,3,3,3,1,2,2,2,2,2,1,1,3,1,3,1,2,1,3,1,1,1,1,1,1,3,2,1,1,3,3,2,2,2,3
1081,2,3,1,3,3,1,2,2,3,2,2,1,1,1,1,2,2,1,3,2,2,1,3,1,1,3,1,1,3,2,2,3,3,3,1,1,2,2,3,3,1,3,2,2,2,1,2,2,2,1,3,3,3,1,1,3,1,3,2,2,1,2,3
1082,1,2,1,1,2,3,2,1,2,2,1,2,3,1,3,1,1,3,3,2,1,1,3,3,1,1,3,3,1,1,2,3,3,2,2,2,3,1,1,2,1,3,2,1,3,1,3,3,2,2,3,3,3,3,1,2,2,2,2,2,1,2,1
1083,1,3,3,1,2,1,1,3,2,3,3,3,1,2,2,1,2,3,3,2,2,2,3,1,2,1,3,3,2,3,2,3,2,1,3,3,1,2,3,1,1,2,2,3,3,2,3,1,2,3,2,3,2,2,3,3,1,3,2,1,3,2,1
1084,3,1,2,2,2,1,3,2,2,1,2,1,3,3,2,1,1,2,1,3,3,1,3,2,3,3,1,3,1,3,3,1,1,3,3,2,1,1,2,1,1,1,3,1,3,2,1,1,3,1,3,1,3,3,1,2,3,3,3,1,1,1,3
1085,3,2,1,1,1,3,1,3,2,2,1,2,3,1,1,1,3,1,1,1,3,3,2,1,2,1,3,2,1,1,1,2,2,1,3,3,2,1,2,2,1,2,1,1,1,3,1,2,2,2,1,3,2,2,3,2,1,1,3,3,3,2,2
1086,1,2,1,2,1,3,2,3,3,2,2,1,3,2,2,3,3,1,1,2,3,3,3,2,3,3,2,2,3,1,3,3,3,3,3,3,3,2,1,2,1,2,3,3,3,2,2,3,2,2,3,1,3,2,2,2,1,1,1,2,2,3,1
1087,2,1,2,1,3,2,2,2,2,3,1,2,1,1,2,3,1,2,2,1,1,2,3,3,1,1,3,3,2,2,2,3,2,3,2,2,2,2,3,3,2,3,1,3,3,1,3,3,3,1,3,1,1,2,2,2,1,3,1,2,2,3,3
1088,2,1,2,2,1,3,3,3,1,3,1,1,3,3,1,3,3,2,3,2,1,1,1,2,2,2,3,3,2,3,3,2,3,1,2,3,1,3,3,3,3,3,3,1,2,2,2,1,2,1,2,3,3,2,3,2,2,3,2,3,3,2,3
1089,3,3,2,1,3,1,3,2,1,2,3,3,3,2,1,1,2,3,1,3,3,2,2,2,1,2,1,2,3,2,3,3,2,1,3,2,2,1,3,1,2,3,3,2,3,1,2,1,3,1,2,1,1,1,1,1,2,3,3,3,1,1,1
1090,3,1,1,3,3,2,3,2,2,2,1,3,3,2,2,2,1,2,3,3,2,3,1,3,3,1,3,3,2,1,2,3,2,1,2,2,3,2,1,3,3,2,3,2,2,1,1,3,1,1,2,3,3,2,2,2,3,3,2,2,3,1,2
1091,2,2,2,1,2,1,2,3,3,1,2,2,1,3,1,2,2,3,1,2,1,3,1,2,2,2,3,1,2,3,3,3,2,3,3,2,2,2,1,2,3,3,2,3,1,3,2,2,2,3,2,1,1,1,3,2,1,1,2,2,3,2,3
1092,1,1,1,2,2,1,1,3,1,3,3,2,3,3,2,2,2,3,2,1,2,1,3,2,1,2,3,1,2,2,3,1,2,2,3,3,2,2,2,3,2,1,2,2,3,2,2,1,3,1,1,2,3,1,3,3,1,3,1,2,2,3,3
1093,2,2,1,3,2,2,1,1,3,2,3,1,3,3,1,2,3,3,2,1,2,2,1,1,2,2,2,2,1,1,3,1,3,2,1,1,3,2,3,2,2,3,3,2,3,2,2,1,3,1,1,3,2,1,1,3,2,1,3,3,1,2,1
1094,1,2,2,2,3,3,1,3,1,3,3,1,2,2,3,2,3,3,1,3,2,1,1,2,1,2,1,1,3,3,3,1,2,2,2,3,1,2,1,1,2,2,3,1,2,2,1,1,3,1,3,3,2,2,2,1,2,2,2,3,2,1,2
1095,1,1,1,2,3,1,3,1,1,1,1,3,3,3,1,1,3,1,2,3,2,2,3,3,2,2,3,3,1,1,2,2,2,1,2,2,3,2,3,2,1,3,3,2,2,3,2,3,2,1,3,3,1,3,3,3,2,3,1,2,2,1,1
1096,3,1,1,3,1,3,2,2,1,3,1,3,2,3,3,2,1,3,2,2,1,3,2,3,1,1,3,1,1,3,3,2,2,2,3,1,2,1,1,1,3,1,3,2,1,2,3,3,3,2,1,3,2,2,3,1,3,3,1,3,1,3,1
1097,2,3,3,1,1,1,2,1,2,1,2,2,1,3,1,1,3,2,2,2,2,3,3,2,2,2,3,2,2,1,1,2,2,1,3,2,2,3,2,3,3,1,1,1,3,2,1,3,1,1,1,2,1,2,1,1,2,1,3,3,3,3,2
1098,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,3,2,2,1,1,2,2,2,1,2,2,2,1,3,3,1,3,1,3,2,1,2,2,1,2,3,2,2,3,2,3,2,2,1,1,1,2,3,3,1,2
1099,2,1,1,1,1,3,2,2,2,2,2,3,3,1,1,1,2,3,3,3,3,1,3,1,1,3,3,2,2,3,3,2,1,3,1,2,2,1,2,1,1,2,2,2,2,1,3,2,2,3,3,1,1,2,2,3,3,3,2,3,1,3,3
1100,2,2,3,2,2,2,3,3,2,2,1,1,2,1,1,3,2,2,3,1,2,3,2,3,3,1,2,3,3,1,2,2,1,3,2,3,3,2,3,1,1,1,3,1,2,1,2,3,3,3,3,2,3,1,2,1,1,3,1,1,3,1,2
